Borehole ID,Document ID,Sub Borehole Layer,Latitude,Longitude,Top Depth,Bottom Depth,Description,USCS,Lithology,Distance_km,Color,Elevation,md
3837,1449,3,47.56611681,-122.3240422,6.0,18.5,"Dark gray to black fine to medium sand with silt and some wood fragments (medium dense to dense, moist to wet)",SP-SM,Silty sand,8.375253037460906,blue,5,6.0
3837,1449,4,47.56611681,-122.3240422,18.5,25.0,"Dark gray to black fine sand with trace silt (dense to very dense, wet)",SP-SM,Sand,8.375253037460906,blue,5,18.5
3838,1449,1,47.56595727,-122.323899,0.0,1.0,"Brown silty sand with trace gravel (loose, moist) (fill)",SM,Silty sand,8.372626514841272,blue,6,0.0
3838,1449,2,47.56595727,-122.323899,1.0,20.0,"Dark gray to black fine to medium sand with silt (medium dense to dense, moist)",SP-SM,Silty sand,8.372626514841272,blue,6,1.0
3838,1449,3,47.56595727,-122.323899,20.0,20.29999924,"Dark gray to black fine sandy silt (hard, wet)",ML,Sandy silt,8.372626514841272,blue,6,20.0
3839,1450,1,47.56676498,-122.3255512,0.0,4.0,"Gray, silty, gravelly, sand and sandy, silty clay, wet, medium dense (fill).",SM,Silty sand,8.450537008591644,blue,4,0.0
3839,1450,2,47.56676498,-122.3255512,4.0,39.0,"Dark brown, slightly silty sand, fine-grained, moist, loose.  Dark brown sand, fine-grained, wet, medium dense.",SP,Sand,8.450537008591644,blue,4,4.0
3840,1450,1,47.56695657,-122.3257482,0.0,7.5,"Gray, silty sand, fine-grained with some wood, wet, medium dense (fill).",SM,Silty sand,8.455817790431931,blue,5,0.0
3840,1450,2,47.56695657,-122.3257482,7.5,33.0,"Dark brown, slightly silty sand, fine-grained, moist to wet, loose.",SP,Sand,8.455817790431931,blue,5,7.5
3840,1450,3,47.56695657,-122.3257482,33.0,38.5,"Gray, sandy silt, wet, loose to medium dense",ML,Sandy silt,8.455817790431931,blue,5,33.0
3840,1450,4,47.56695657,-122.3257482,38.5,49.0,"Gray-brown, silty sand, fine-grained, wet, medium dense",SM,Silty sand,8.455817790431931,blue,5,38.5
3841,1451,1,47.5670517,-122.3263268,0.0,6.0,Dark brownish gray medium sand (hydraulic fill),,Sand,8.491800817786032,blue,5,0.0
3841,1451,2,47.5670517,-122.3263268,6.0,18.5,Dark gray poorly sorted fine to very coarse volcanic sand (abundant red fragments of andesite) w/sparse pebbles to 1/4'' long in lower part and abundant pulpy wood fragments in the basal 2 1/2',,Sand,8.491800817786032,blue,5,6.0
3841,1451,3,47.5670517,-122.3263268,18.5,19.0,Dark gray fine sand and silt w/ some gray clay seams to 1/2'' thick and abundant pulpy wood fragments.,,Clayey sand,8.491800817786032,blue,5,18.5
3841,1451,4,47.5670517,-122.3263268,19.0,24.5,Dark gray poorly sorted fine to coarse sand  w/very abundant wood fragments,,Sand,8.491800817786032,blue,5,19.0
3842,1451,1,47.56688434,-122.3263332,0.0,0.5,"Bricks, mortar, miscellaneous fill at surface.",,Fill,8.499480519618404,blue,5,0.0
3842,1451,2,47.56688434,-122.3263332,0.5,5.0,Brownish gray medium sand (hydraulic fill),,Sand,8.499480519618404,blue,5,0.5
3842,1451,3,47.56688434,-122.3263332,5.0,18.5,"Dark gray poorly, sorted fine to very coarse volcanic sand (abundant red fragments of andesite) w/sparse pebbles to 1/2'' long",,Sand,8.499480519618404,blue,5,5.0
3842,1451,4,47.56688434,-122.3263332,18.5,25.0,"Dark gray fine volcanic sand, silty in places w/ abundant pulpy wood fragments",,Silty sand,8.499480519618404,blue,5,18.5
3842,1451,5,47.56688434,-122.3263332,25.0,29.60000038,Dark gray fine to medium volcanic sand.,,Sand,8.499480519618404,blue,5,25.0
3843,1451,1,47.56673068,-122.3263401,0.0,6.5,"Bricks, mortar, miscellaneous fill at surface organish brown medium and coarse sand (hydraulic fill)",,Sand,8.506632224295789,blue,5,0.0
3843,1451,2,47.56673068,-122.3263401,6.5,11.0,Brownish gray poorly sorted fine to coarse (weathered volcanic?) Sand,,Sand,8.506632224295789,blue,5,6.5
3843,1451,3,47.56673068,-122.3263401,11.0,18.0,Dark gray poorly sorted fine to very coarse volcanic sand (abundant red fragments of andesite) w/ sparse small pebbles to 1/2'' long; very sparse organic matter.,,Sand,8.506632224295789,blue,5,11.0
3843,1451,4,47.56673068,-122.3263401,18.0,18.5,Brownish gray pulpy wood fragments to 1/4'' long as a bed 4'' thick.,,Undefined,8.506632224295789,blue,5,18.0
3843,1451,5,47.56673068,-122.3263401,18.5,25.0,Dark gray fine volcanic sand and silt.,,Silty sand,8.506632224295789,blue,5,18.5
3844,1454,1,47.53042541,-122.3142725,0.0,0.800000012,Concrete slab (10 inches),Not applicable,Asphalt / concrete,10.106380782417675,blue,5,0.0
3844,1454,2,47.53042541,-122.3142725,0.800000012,1.5,Orange sandy gravel (moist) (basecourse),GW,Gravel,10.106380782417675,blue,5,0.800000012
3844,1454,3,47.53042541,-122.3142725,1.5,7.0,"Brown fine to medium sand, trace silt (moist) (medium dense) (fill).",SP,Sand,10.106380782417675,blue,5,1.5
3844,1454,4,47.53042541,-122.3142725,7.0,15.0,Black fine to medium sand with some silt (loose),SP,Silty sand,10.106380782417675,blue,5,7.0
3844,1454,5,47.53042541,-122.3142725,15.0,21.5,Gray silty fine to medium sand (wet) (medium dense),SM,Silty sand,10.106380782417675,blue,5,15.0
3845,1454,1,47.53073888,-122.3140402,0.0,0.800000012,Concrete slab (9 inches),Not applicable,Asphalt / concrete,10.069009549049238,blue,5,0.0
3845,1454,2,47.53073888,-122.3140402,0.800000012,1.5,Brown sandy gravel (moist) (basecourse),GW,Gravel,10.069009549049238,blue,5,0.800000012
3845,1454,3,47.53073888,-122.3140402,1.5,3.0,"Gray silty fine to medium sand, occasional fine gravel (moist) (medium dense) (fill)",SM,Silty sand,10.069009549049238,blue,5,1.5
3845,1454,4,47.53073888,-122.3140402,3.0,9.199999809,"Black fine to medium sand, trace silt (moist) (dense) (fill)",SP,Sand,10.069009549049238,blue,5,3.0
3845,1454,5,47.53073888,-122.3140402,9.199999809,10.5,"Gray silt, some organic matter, trace of brick debris (moist) (soft)",ML,Silt,10.069009549049238,blue,5,9.199999809
3845,1454,6,47.53073888,-122.3140402,10.5,20.0,"Black fine to medium sand, trace silt (wet) (loose).",SP,Sand,10.069009549049238,blue,5,10.5
3846,1454,1,47.53100913,-122.3141182,0.0,0.600000024,Concrete slab (8 inches),Not applicable,Asphalt / concrete,10.051191575782026,blue,5,0.0
3846,1454,2,47.53100913,-122.3141182,0.600000024,1.700000048,Orange sandy gravel (moist) (basecourse),GW,Gravel,10.051191575782026,blue,5,0.600000024
3846,1454,3,47.53100913,-122.3141182,1.700000048,2.799999952,"Gray fine to medium sand, trace silt (moist) (fill) (blow counts unrepresentative due to underlying asphalt)",SP,Sand,10.051191575782026,blue,5,1.700000048
3846,1454,4,47.53100913,-122.3141182,2.799999952,3.200000048,Asphaltic concrete layer,Not applicable,Asphalt / concrete,10.051191575782026,blue,5,2.799999952
3846,1454,5,47.53100913,-122.3141182,3.200000048,5.0,Brown sandy gravel (moist) (basecourse) (very dense),GW,Gravel,10.051191575782026,blue,5,3.200000048
3846,1454,6,47.53100913,-122.3141182,5.0,8.899999619,"Black fine to medium sand, trace silt (moist) (medium dense) (fill)",SP,Sand,10.051191575782026,blue,5,5.0
3846,1454,7,47.53100913,-122.3141182,8.899999619,10.0,Gray mottled silt (moist) (medium stiff),ML,Silt,10.051191575782026,blue,5,8.899999619
3846,1454,8,47.53100913,-122.3141182,10.0,12.0,"Black fine to medium sand, trace silt (wet)",SP,Sand,10.051191575782026,blue,5,10.0
3846,1454,9,47.53100913,-122.3141182,12.0,15.5,Gray silty fine sand (loose),SM,Silty sand,10.051191575782026,blue,5,12.0
3846,1454,10,47.53100913,-122.3141182,15.5,21.5,"Black fine to medium sand, trace silt (loose).",SP,Sand,10.051191575782026,blue,5,15.5
3847,1454,1,47.53260413,-122.313646,0.0,0.800000012,Concrete slab (8.5 Inches),Not applicable,Asphalt / concrete,9.8984145565701,blue,5,0.0
3847,1454,2,47.53260413,-122.313646,0.800000012,1.5,Orange sandy gravel (moist) (basecourse),GW,Gravel,9.8984145565701,blue,5,0.800000012
3847,1454,3,47.53260413,-122.313646,1.5,7.0,"Dark gray to black fine sand, trace silt (moist) (medium dense) (fill)",SP,Sand,9.8984145565701,blue,5,1.5
3847,1454,4,47.53260413,-122.313646,7.0,26.0,Dark gray to black fine to medium sand with trace silt (loose).,SP,Sand,9.8984145565701,blue,5,7.0
3847,1454,5,47.53260413,-122.313646,26.0,37.0,"Black sand, trace silt (wet) (medium dense)",SW,Sand,9.8984145565701,blue,5,26.0
3847,1454,6,47.53260413,-122.313646,37.0,42.0,Dark gray fine sandy silt (wet) (medium stiff to stiff),ML,Sandy silt,9.8984145565701,blue,5,37.0
3847,1454,7,47.53260413,-122.313646,42.0,52.0,Dark gray silty fine sand (wet) (loose to medium dense),SM,Silty sand,9.8984145565701,blue,5,42.0
3847,1454,8,47.53260413,-122.313646,52.0,67.0,"Black fine sand, trace silt (wet) (medium dense)",SP,Sand,9.8984145565701,blue,5,52.0
3847,1454,9,47.53260413,-122.313646,67.0,70.0,"Gray sandy silt, occasional fine gravel, wood pieces, broken shells and cobbles (blowcount low due to driling disturbance)",ML,Sandy silt,9.8984145565701,blue,5,67.0
3847,1454,10,47.53260413,-122.313646,70.0,82.0,"Gray silty fine sand, some fine gravel, with occasional gravel and cobble seams (very dense) (till)",SM,Silty sand,9.8984145565701,blue,5,70.0
3847,1454,11,47.53260413,-122.313646,82.0,92.0,"Gray medium sand, trace silt, occasional fine gravel (very dense) (fill)",SP,Sand,9.8984145565701,blue,5,82.0
3847,1454,12,47.53260413,-122.313646,92.0,105.0,Dark gray mottled silt (hard) (till),ML,Silt,9.8984145565701,blue,5,92.0
3848,1454,1,47.53340167,-122.314904,0.0,0.800000012,Concrete slab (8.5 Inches),Not applicable,Asphalt / concrete,9.901224227945058,blue,5,0.0
3848,1454,2,47.53340167,-122.314904,0.800000012,1.5,Orange sandy gravel (moist) (basecourse),GW,Gravel,9.901224227945058,blue,5,0.800000012
3848,1454,3,47.53340167,-122.314904,1.5,6.0,Gray silty fine sand (moist) (medium dense) (fill),SM,Silty sand,9.901224227945058,blue,5,1.5
3848,1454,4,47.53340167,-122.314904,6.0,12.0,Black silty fine sand (moist) (loose),SM,Silty sand,9.901224227945058,blue,5,6.0
3848,1454,5,47.53340167,-122.314904,12.0,21.5,"Black fine sand, trace silt and occasional thin lenses of gravelly sand (loose).",SP,Sand,9.901224227945058,blue,5,12.0
3849,1454,1,47.533564,-122.3160999,0.0,0.800000012,Concrete slab (9 inches),Not applicable,Asphalt / concrete,9.95206300099108,blue,5,0.0
3849,1454,2,47.533564,-122.3160999,0.800000012,1.5,Orange sandy gravel (moist) (basecourse),GW,Gravel,9.95206300099108,blue,5,0.800000012
