Borehole ID,Document ID,Sub Borehole Layer,Latitude,Longitude,Top Depth,Bottom Depth,Description,USCS,Lithology,Distance_km,Color,Elevation,md,Scaled_Latitude,Scaled_Longitude
81,575,2,47.54009951,-122.3880988,0.100000001,5.0,"Sand; brown, fine to medium, little silt and gravel, trace fine gravel, very dense, moist.",SW,Sand,13.972704239763043,blue,63,0.100000001,-91.05120522022503,59.320022838562636
81,575,3,47.54009951,-122.3880988,5.0,12.5,"Sand; gray brown, fine to medium, trace silt, thinly bedded with stained zones of sand, very dense, moist.",SP,Sand,13.972704239763043,blue,63,5.0,-91.05120522022503,59.320022838562636
81,575,4,47.54009951,-122.3880988,12.5,19.29999924,"Silty sand; gray, fine to medium sand, trace gravel, very dense, very moist grades with zones of iron stained sand, very moist.",SM,Silty sand,13.972704239763043,blue,63,12.5,-91.05120522022503,59.320022838562636
82,575,1,47.54040378,-122.3881055,0.0,12.0,"Sand; brown, fine to medium, trace silt and gravel, dense, moist.",SP,Sand,13.957936887846092,blue,63,0.0,-88.0085052202162,59.253022838561265
82,575,2,47.54040378,-122.3881055,12.0,15.0,"Silty sand with gravel; gray, fine to medium sand, medium gravel, very dense, very moist.",SM,Silty sand,13.957936887846092,blue,63,12.0,-88.0085052202162,59.253022838561265
82,575,3,47.54040378,-122.3881055,15.0,19.0,"Silty sand with gravel; gray, fine to medium sand, medium gravel, very dense, very moist.",SM,Silty sand,13.957936887846092,blue,63,15.0,-88.0085052202162,59.253022838561265
83,577,1,47.53993143,-122.384424,0.0,7.5,"Gray, silty sand with gravel, moist, loose to medium dense.",SM,Fill,13.734900207646854,blue,103,0.0,-92.73200522017078,96.06802283855131
83,577,2,47.53993143,-122.384424,7.5,13.0,"Orange brown, silty, medium sand, loose, dry.",SP,Silty sand,13.734900207646854,blue,103,7.5,-92.73200522017078,96.06802283855131
84,577,1,47.53997011,-122.3847453,0.0,5.0,"Gray, silty sand with gravel, moist, loose to medium dense.",SM,Fill,13.754409401027232,blue,102,0.0,-92.34520522021228,92.85502283844949
84,577,2,47.53997011,-122.3847453,5.0,8.0,"Brown to gray, silty, medium sand.",SM,Silty sand,13.754409401027232,blue,102,5.0,-92.34520522021228,92.85502283844949
